qname	decompositionTime	planningTime	firstResult	overallExecTime	status	cardinality
Q1	0.0015683174133300781	0.06406855583190918	0.5368473529815674	1.668550968170166	1	2
Q2	0.0009183883666992188	0.0018839836120605469	2.9962360858917236	3.3607699871063232	1	5304
Q3	0.001226186752319336	0.05490612983703613	0.2295680046081543	0.594304084777832	1	1187
Q4	0.0017962455749511719	0.05902290344238281	1.1823170185089111	25.371252298355103	1	173014
Q5	0.002010345458984375	0.060573577880859375	8.709965229034424	26.114639043807983	1	640
Q1	0.001565694808959961	0.09125351905822754	0.5985450744628906	1.7351300716400146	1	2
Q2	0.0011229515075683594	0.0021827220916748047	3.101688861846924	3.4553329944610596	1	5304
Q3	0.001249551773071289	0.06851363182067871	0.2629964351654053	0.7288172245025635	1	1187
Q4	0.002276182174682617	0.0673978328704834	0.7962124347686768	28.197202444076538	1	173014
Q5	0.0019049644470214844	0.05287480354309082	7.567721843719482	27.00877046585083	1	640
Q1	0.0015673637390136719	0.0735931396484375	0.6244912147521973	1.8043386936187744	1	2
Q2	0.001010894775390625	0.00196075439453125	3.138127565383911	3.4694290161132812	1	5304
Q3	0.0013270378112792969	0.039777278900146484	0.22386503219604492	0.6080539226531982	1	1187
Q4	0.0019235610961914062	0.07337403297424316	0.7731730937957764	29.900470495224	1	173014
Q5	0.0019271373748779297	0.05481839179992676	9.360671758651733	27.952902793884277	1	640
Q1	0.0012705326080322266	0.0400691032409668	0.4538447856903076	1.6102347373962402	1	2
Q2	0.0012125968933105469	0.002580404281616211	3.268763303756714	3.580505847930908	1	5304
Q3	0.001459360122680664	0.05073714256286621	0.2549557685852051	0.7239761352539062	1	1187
Q4	0.0020303726196289062	0.05890679359436035	0.8293275833129883	33.380093574523926	1	173014
Q5	0.0017948150634765625	0.07425498962402344	9.375373601913452	27.862157344818115	1	640
Q1	0.0013077259063720703	0.07085704803466797	0.6876475811004639	1.7055351734161377	1	2
Q2	0.0012042522430419922	0.002367258071899414	3.0649099349975586	3.4077610969543457	1	5304
Q3	0.0012857913970947266	0.03343701362609863	0.21876978874206543	0.6008152961730957	1	1187
Q4	0.0019538402557373047	0.07277345657348633	0.6745204925537109	24.7914981842041	1	173014
Q5	0.002041339874267578	0.07246708869934082	8.92402172088623	30.255556106567383	1	640
