qname	decompositionTime	planningTime	firstResult	overallExecTime	status	cardinality
Q1	0.0012865066528320312	0.05557751655578613	0.4942741394042969	2.4319300651550293	1	2
Q2	0.0011277198791503906	0.05103039741516113	0.2664790153503418	1.1169743537902832	1	5304
Q3	0.0013000965118408203	0.05880880355834961	0.26178765296936035	0.7257795333862305	1	1187
Q4	0.0021371841430664062	0.05481147766113281	0.8459768295288086	38.73582315444946	1	173014
Q5	0.001971721649169922	0.0591738224029541	27.24953031539917	27.27074360847473	1	640
Q1	0.0012979507446289062	0.048195600509643555	0.43124842643737793	2.3055295944213867	1	2
Q2	0.0009872913360595703	0.059052228927612305	0.28159499168395996	1.2682433128356934	1	5304
Q3	0.001306772232055664	0.056807756423950195	0.2455291748046875	0.7322208881378174	1	1187
Q4	0.002182483673095703	0.059748172760009766	0.655994176864624	28.030070066452026	1	173014
Q5	0.002592802047729492	0.05994129180908203	24.835803508758545	24.85911750793457	1	640
Q1	0.0011801719665527344	0.05987739562988281	0.44951939582824707	2.2808949947357178	1	2
Q2	0.0010945796966552734	0.04656696319580078	0.2511918544769287	1.0392639636993408	1	5304
Q3	0.0012977123260498047	0.06668734550476074	0.2648935317993164	0.6659765243530273	1	1187
Q4	0.0019915103912353516	0.05789995193481445	0.670325756072998	27.230543851852417	1	173014
Q5	0.0019254684448242188	0.07330155372619629	23.29413390159607	23.318036317825317	1	640
Q1	0.0012476444244384766	0.036707401275634766	0.4871022701263428	2.537001371383667	1	2
Q2	0.001100301742553711	0.02483534812927246	0.24010705947875977	1.0844230651855469	1	5304
Q3	0.0012974739074707031	0.03330349922180176	0.23281574249267578	0.6418378353118896	1	1187
Q4	0.001829385757446289	0.06286811828613281	0.6288273334503174	29.300375938415527	1	173014
Q5	0.002001523971557617	0.07965564727783203	23.861274242401123	23.888559103012085	1	640
Q1	0.001237630844116211	0.03794980049133301	0.441699743270874	2.418644666671753	1	2
Q2	0.0016252994537353516	0.06812143325805664	0.27177906036376953	1.0123038291931152	1	5304
Q3	0.0013337135314941406	0.0296175479888916	0.212066650390625	0.6130757331848145	1	1187
Q4	0.0018398761749267578	0.06252098083496094	0.6954634189605713	27.723661422729492	1	173014
Q5	0.001840353012084961	0.05738973617553711	23.380396842956543	23.40552854537964	1	640

