qname	decompositionTime	planningTime	firstResult	overallExecTime	status	cardinality
Q1	0.0012614727020263672	0.036006927490234375	0.5008680820465088	2.021312713623047	1	2
Q2	0.001020193099975586	0.0021810531616210938	3.215702772140503	3.64145827293396	1	5304
Q3	0.0014355182647705078	0.06883835792541504	0.2644071578979492	0.645164966583252	1	1187
Q4	0.0020668506622314453	0.0662839412689209	0.6808428764343262	26.97926902770996	1	173014
Q5	0.0018222332000732422	0.054190635681152344	9.528330326080322	31.982774257659912	1	640
Q1	0.0011928081512451172	0.05135035514831543	0.43867063522338867	2.4883644580841064	1	2
Q2	0.0010981559753417969	0.002099275588989258	3.03554630279541	3.3478314876556396	1	5304
Q3	0.0012776851654052734	0.05114030838012695	0.25421714782714844	0.7200767993927002	1	1187
Q4	0.0019383430480957031	0.0735926628112793	0.6911733150482178	25.707438707351685	1	173014
Q5	0.0019626617431640625	0.06750798225402832	9.879719257354736	32.28215312957764	1	640
Q1	0.001294851303100586	0.05454850196838379	0.38961052894592285	2.3988611698150635	1	2
Q2	0.0011925697326660156	0.0025587081909179688	3.2091047763824463	3.4951229095458984	1	5304
Q3	0.0012812614440917969	0.06269335746765137	0.25072431564331055	0.6396799087524414	1	1187
Q4	0.001970052719116211	0.06389164924621582	0.7009427547454834	27.29600214958191	1	173014
Q5	0.0020377635955810547	0.0593724250793457	9.285805225372314	31.65885853767395	1	640
Q1	0.001135110855102539	0.03289437294006348	0.46720123291015625	2.390794277191162	1	2
Q2	0.0017976760864257812	0.0028076171875	3.101332187652588	3.4545130729675293	1	5304
Q3	0.0013310909271240234	0.06403064727783203	0.24194121360778809	0.6514379978179932	1	1187
Q4	0.0018963813781738281	0.05806374549865723	0.6591732501983643	27.298004865646362	1	173014
Q5	0.0018801689147949219	0.05112433433532715	9.572526216506958	32.392165660858154	1	640
Q1	0.0012006759643554688	0.045970916748046875	0.4225940704345703	2.18912410736084	1	2
Q2	0.001012563705444336	0.0022008419036865234	2.9534013271331787	3.360966444015503	1	5304
Q3	0.0012845993041992188	0.05903291702270508	0.2579185962677002	0.6418828964233398	1	1187
Q4	0.0019989013671875	0.04970407485961914	0.7137486934661865	28.798129558563232	1	173014
Q5	0.0018913745880126953	0.0752706527709961	15.220507621765137	34.62716889381409	1	640
