test,approach,tfft,totaltime,comp
Q1,no delay,0.4665427207946777,1.6370632648468018,2
Q2,no delay,0.2646472454071045,1.0564782619476318,5304
Q3,no delay,0.2265183925628662,0.6205770969390869,1187
Q4,no delay,0.7178580760955809,27.872450113296512,173014
Q5,no delay,22.63264775276184,22.652661085128784,640
Q1,gamma 1,0.5142424106597899,2.5733890533447266,2
Q2,gamma 1,0.2533252239227295,1.0713772773742676,5304
Q3,gamma 1,0.24080824851989746,0.6517739295959473,1187
Q4,gamma 1,0.6495447158813477,33.53967499732971,173014
Q5,gamma 1,26.569186687469482,26.59468078613281,640
Q1,gamma 2,0.560483455657959,2.8146913051605225,2
Q2,gamma 2,0.28007054328918457,1.2312045097351074,5304
Q3,gamma 2,0.2475597858428955,0.7481565475463867,1187
Q4,gamma 2,0.687239408493042,33.651542901992805,173014
Q5,gamma 2,27.50628089904785,27.53723835945129,640
Q1,gamma 3,0.4942741394042969,2.4319300651550293,2
Q2,gamma 3,0.27177906036376953,1.0123038291931152,5304
Q3,gamma 3,0.212066650390625,0.6130757331848145,1187
Q4,gamma 3,0.6703257560729979,27.230543851852413,173014
Q5,gamma 3,23.861274242401123,23.888559103012085,640
